city,country,2017,2018,2019,2020,2021,2022,2023
Tangshan,China,84.7,63.5,52.6,46.8,43.2,33.1,33.1
Ilijaš,Bosnia Herzegovina,,,,,33.7,29.9,33
Mahatapnagar,India,,,,,,32,33
Ekurhuleni,South Africa,,,,,33.8,32,33
Dashiqiao,China,,,,,35,32.9,32.9
Hancheng,China,,,29.8,35.7,33.2,32.8,32.9
Chizhou,China,60.4,43.7,42.4,33.6,30.6,32.8,32.8
Hanting,China,,,,,34,32.7,32.8
Qionghu,China,,,,,38.1,32.7,32.8
Nelamangala,India,,,,,,33.7,32.8
Fengrun,China,,,,,45.3,32.8,32.7
Shaoyang,China,51.6,44,42.1,37.3,36.9,32.5,32.7
Saveh,Iran,,,19.8,21.3,27.3,32.8,32.7
Guozhen,China,,,33.3,35.5,31.4,32.4,32.6
Anagalapura,India,,,,,,33.4,32.6
Kollam,India,,,,,36.9,32.5,32.6
Xiannu,China,,,,,31.3,35.1,32.5
Osogbo,Nigeria,,,,,23.4,32.8,32.5
Sarajevo,Bosnia Herzegovina,,38.4,34.1,42.5,29.7,32.4,32.4
Hefei,China,54.7,47.2,43.8,36,32.6,32.4,32.4
Xinpu,China,,,35.5,38.8,36.2,32.5,32.4
Tirupati,India,34.5,31.3,26.4,24.4,28.8,31.9,32.4
Darhan,Mongolia,,,,24.3,34.7,32.4,32.4
Lazarevac,Serbia,,,,,24.6,32.2,32.4
Yongzhou,China,43.7,46.1,38.4,32.9,32.9,32.1,32.3
Tiruppur,India,,,,,25.5,29.3,32.3
Valjevo,Serbia,,,37.9,41.5,34.7,31.8,32.3
Datong,China,38.4,36.6,32.3,31.2,35.1,32.25,32.25
Huludao,China,44.6,41,45.5,41.7,36.8,32.2,32.2
Dharwad,India,,,,,,32.7,32.2
As Salimiyah,Kuwait,,,,,29.4,32.5,32.2
Huangshi,China,55.2,41.7,40.6,35,33,32.1,32.1
Yangzhou,China,54.1,48.2,43,35.6,34.2,32.1,32.1
Chikkaballapur,India,,,28.8,29.6,26.1,32,32.1
Yongchuan,China,,,30.3,31.8,33.2,32,32
Chandra,India,,,,,,32.2,32
Nis,Serbia,,,32.4,32,29,31.9,32
Changli,China,,,,,36.2,32.6,31.9
Jinshi,China,,,,,33.1,31.8,31.9
Tashkent,Uzbekistan,,34.3,41.2,29.9,42.8,33.5,31.9
Shuozhou,China,49.1,41.8,38.8,38.6,35,31.8,31.8
Hubli,India,,,,25.2,29.7,32.1,31.8
Jeddah,Saudi Arabia,,,,,33,32.5,31.8
Jiujiang,China,48.05,43.35,48.65,39.2,34.2,31.4,31.75
Chengzihe,China,,,,,35.1,31.5,31.7
Xuancheng,China,49.1,43.2,41.7,32.7,30.2,32,31.7
Hengyang,China,47.8,41.3,42.1,35.3,35.9,31.5,31.6
Neijiang,China,47.6,36.8,35.2,34.1,35.9,31.7,31.6
Bengaluru,India,32.1,34.5,32.6,27.5,29,31.5,31.6
Yerevan,Armenia,,,25.5,24.9,33.9,31.4,31.5
Kintampo,Ghana,,,,,28.9,32.9,31.5
Bihac,Bosnia Herzegovina,,,,,33,29.5,31.4
Shenyang,China,48,39.3,41.6,40.8,37,31.4,31.4
Khorramshahr,Iran,,,,30.3,32.8,31.5,31.4
Jining,China,56.2,50.1,56.6,53.4,36.45,31.35,31.35
Tongchuanshi,China,,,28.6,30.9,28.9,31.2,31.3
Xiangxiang,China,,,,,40.3,31.3,31.3
Ziyang,China,27.7,38.3,33.5,29.5,28.2,31.3,31.3
Krishnagiri,India,,,,,35.4,29.4,31.3
Luoyang,China,72.5,59.9,62.4,50.7,29.95,31.2,31.2
Addis Ababa,Ethiopia,26.9,27.1,20.1,14.7,23.9,31.3,31.2
Yinchuan,China,46.3,39.3,31,34.5,29.9,31.1,31.1
Jajce,Bosnia Herzegovina,,,,,29.7,33.5,31
Ksawerow,Poland,,,28.7,28.7,31.9,30.8,30.9
Qurghonteppa,Tajikistan,,,,,74.5,29.4,30.9
Villa Alemana,Chile,,,,,14.2,33,30.8
Chuzhou,China,55.2,49.7,48.4,39.3,33.8,30.8,30.8
Jiuquan,China,34.5,33.3,27.6,30.1,31,30.9,30.8
Liaoyuan,China,48.5,35.6,37.6,38.9,32.6,30.8,30.8
Nazarabad,Iran,,,24.8,26.1,31.5,30.5,30.8
Tieling,China,48.4,38.2,40,38.4,33.8,30.6,30.7
Kochi,India,,,,19,24.6,30.7,30.7
Mandikhera,India,,,,51.7,50.9,28.4,30.7
